purchase_id,customer_id,product_id,purchased_at,quantity,rating,review,is_holdout
O0095,C021,P157,2025-10-26,2,4,두 통째 쓰는 중이에요. 병풀 들어간 거 찾다가 샀는데 만족합니다.,0
O0096,C021,P141,2026-02-19,1,3,무난해요. 향이 세지 않아서 좋아요.,0
O0097,C021,P021,2026-06-30,1,5,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요. 카톡 아이디 hyunwoo47 입니다.,1
O0098,C022,P099,2025-11-06,2,5,고민하다 샀는데 잘 산 것 같아요. 중성인데 자극 없이 잘 썼어요. 궁금하신 분은 010-5537-2579으로 문자주세요.,0
O0099,C022,P048,2025-12-23,1,5,두 통째 쓰는 중이에요. 향이 세지 않아서 좋아요.,0
O0100,C022,P101,2026-05-28,1,5,샘플 써보고 본품 구매했어요. 향이 세지 않아서 좋아요. 수원 행신동 사는데 근처 매장에도 있더라고요.,0
O0101,C022,P139,2026-06-11,1,1,다음엔 다른 거 살 것 같아요. 생각보다 끈적여서 아침엔 못 쓰겠어요.,1
O0102,C023,P103,2025-09-01,1,5,두 통째 쓰는 중이에요. 건성인데 자극 없이 잘 썼어요. 재고 문의는 010 8394 6548 로 부탁드려요.,0
O0103,C023,P061,2025-11-09,1,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,0
O0104,C023,P068,2026-01-19,1,2,저랑은 안 맞았어요. 용량 대비 가격이 아쉬워요.,0
O0105,C023,P087,2026-04-03,1,3,나쁘진 않은데 특별하진 않네요. 병풀 들어간 거 찾다가 샀는데 만족합니다. 강우진 언니가 쓰는 거 보고 따라 샀습니다.,0
O0106,C023,P074,2026-05-30,1,5,두 통째 쓰는 중이에요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,0
O0107,C023,P040,2026-07-06,1,5,친구가 좋다고 해서 샀는데 만족해요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요. 부산 상무지구 사는데 근처 매장에도 있더라고요.,1
O0108,C024,P184,2025-07-28,1,4,고민하다 샀는데 잘 산 것 같아요. 약산성 아미노산 들어간 거 찾다가 샀는데 만족합니다.,0
O0109,C024,P171,2025-08-19,1,5,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요. 저는 박소율인데 벌써 세 번째 재구매예요.,0
O0110,C024,P173,2025-12-31,2,1,저랑은 안 맞았어요. 향이 저한테는 좀 강했어요.,0
O0111,C024,P155,2026-01-01,1,5,친구가 좋다고 해서 샀는데 만족해요. 건성인데 자극 없이 잘 썼어요.,0
O0112,C024,P084,2026-03-16,1,5,재구매입니다. 속건조가 덜하다는 게 느껴져요.,0
O0113,C024,P143,2026-03-28,1,5,고민하다 샀는데 잘 산 것 같아요. 프로폴리스 들어간 거 찾다가 샀는데 만족합니다.,0
O0114,C024,P133,2026-07-23,1,4,두 통째 쓰는 중이에요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요. 성남 수지구 사는데 근처 매장에도 있더라고요.,0
O0115,C024,P156,2026-07-23,1,5,재구매입니다. 약산성 아미노산 들어간 거 찾다가 샀는데 만족합니다. 성남 수지구 사는데 근처 매장에도 있더라고요.,1
O0116,C025,P012,2025-09-08,1,3,무난해요. 비타민C 들어간 거 찾다가 샀는데 만족합니다. 서도현 언니가 쓰는 거 보고 따라 샀습니다.,0
O0117,C025,P060,2026-04-04,1,4,샘플 써보고 본품 구매했어요. 붉은 기가 빨리 가라앉는다는 게 느껴져요.,0
O0118,C025,P058,2026-08-01,1,4,두 통째 쓰는 중이에요. 눈가가 덜 접힌다는 게 느껴져요. 카톡 아이디 hyunwoo88 입니다.,1
O0119,C026,P032,2025-07-12,2,3,기대가 컸나 봐요. 지성인데 자극 없이 잘 썼어요.,0
O0120,C026,P143,2025-08-13,1,2,광고를 너무 믿었나 봐요. 향이 저한테는 좀 강했어요. 공구 원하시면 01049078214 연락주세요.,0
O0121,C026,P023,2026-01-08,1,5,두 통째 쓰는 중이에요. 젤 같은 제형이라 아침에 쓰기 좋아요. 황유진님이 추천해줘서 샀어요.,0
O0122,C026,P096,2026-01-23,1,3,나쁘진 않은데 특별하진 않네요. 지성인데 자극 없이 잘 썼어요.,0
O0123,C026,P102,2026-03-22,2,3,나쁘진 않은데 특별하진 않네요. 향이 세지 않아서 좋아요. 재고 문의는 010 4907 8214 로 부탁드려요.,0
O0124,C026,P008,2026-07-06,1,4,두 통째 쓰는 중이에요. 지성인데 자극 없이 잘 썼어요.,1
O0125,C027,P118,2025-07-07,1,4,"친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요. 송나은이라고 하고요, 매장 직원분이 친절했어요.",0
O0126,C027,P152,2025-10-14,1,5,샘플 써보고 본품 구매했어요. 건성인데 자극 없이 잘 썼어요.,0
O0127,C027,P074,2025-10-21,1,4,친구가 좋다고 해서 샀는데 만족해요. 올라오던 게 덜하다는 게 느껴져요. 궁금하신 분은 010-4330-3042으로 문자주세요.,0
O0128,C027,P089,2026-01-18,1,4,친구가 좋다고 해서 샀는데 만족해요. 눈가가 덜 접힌다는 게 느껴져요.,0
O0129,C027,P082,2026-02-01,1,5,친구가 좋다고 해서 샀는데 만족해요. 녹차 들어간 거 찾다가 샀는데 만족합니다.,0
O0130,C027,P121,2026-02-25,1,4,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다.,0
O0131,C027,P122,2026-04-28,1,5,재구매입니다. 건성인데 자극 없이 잘 썼어요.,0
O0132,C027,P093,2026-06-26,1,3,기대가 컸나 봐요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다. 카톡 아이디 sunghyun43 입니다.,1
O0133,C028,P031,2025-07-08,1,4,두 통째 쓰는 중이에요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요.,0
O0134,C028,P179,2025-09-01,1,3,무난해요. 향이 세지 않아서 좋아요.,0
O0135,C028,P042,2025-10-23,1,2,저랑은 안 맞았어요. 속건조가 덜하다는 잘 모르겠어요. 최지은님이 추천해줘서 샀어요.,0
O0136,C028,P071,2025-11-26,2,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,0
O0137,C028,P171,2025-12-18,1,3,무난해요. 복합성인데 자극 없이 잘 썼어요.,0
O0138,C028,P133,2026-01-27,1,5,고민하다 샀는데 잘 산 것 같아요. 복합성인데 자극 없이 잘 썼어요. 카톡 아이디 seoyeon43 입니다.,0
O0139,C028,P190,2026-04-22,1,3,기대가 컸나 봐요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요. 황혜원 언니가 쓰는 거 보고 따라 샀습니다.,1
O0140,C029,P126,2025-11-18,1,4,두 통째 쓰는 중이에요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,0
O0141,C029,P083,2025-12-20,1,2,환불 고민 중입니다. 탱탱한 느낌이 오래간다는 잘 모르겠어요.,0
O0142,C029,P139,2026-06-20,1,4,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요.,1
O0143,C030,P012,2025-07-12,1,5,고민하다 샀는데 잘 산 것 같아요. 복합성인데 자극 없이 잘 썼어요.,0
O0144,C030,P199,2025-07-28,1,3,가격 생각하면 이 정도는 하는 것 같아요. 향이 세지 않아서 좋아요. 대구 불당동 사는데 근처 매장에도 있더라고요.,0
O0145,C030,P155,2025-08-18,1,5,재구매입니다. 세라마이드 들어간 거 찾다가 샀는데 만족합니다.,0
O0146,C030,P145,2025-09-22,1,4,친구가 좋다고 해서 샀는데 만족해요. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,0
O0147,C030,P085,2026-01-14,2,4,친구가 좋다고 해서 샀는데 만족해요. 레티놀 들어간 거 찾다가 샀는데 만족합니다.,0
O0148,C030,P114,2026-02-10,1,4,고민하다 샀는데 잘 산 것 같아요. 향이 세지 않아서 좋아요.,1
O0149,C031,P162,2025-08-20,1,2,다음엔 다른 거 살 것 같아요. 향이 저한테는 좀 강했어요.,0
O0150,C031,P058,2025-11-04,1,5,고민하다 샀는데 잘 산 것 같아요. 눈가가 덜 접힌다는 게 느껴져요.,0
O0151,C031,P137,2026-01-17,1,5,재구매입니다. 지성인데 자극 없이 잘 썼어요.,0
O0152,C031,P080,2026-01-24,1,4,친구가 좋다고 해서 샀는데 만족해요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요.,0
O0153,C031,P024,2026-04-22,1,3,무난해요. 지성인데 자극 없이 잘 썼어요.,0
O0154,C031,P118,2026-05-02,1,4,샘플 써보고 본품 구매했어요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요.,0
O0155,C031,P028,2026-05-19,1,5,고민하다 샀는데 잘 산 것 같아요. 속건조가 덜하다는 게 느껴져요.,0
O0156,C031,P012,2026-08-01,1,5,고민하다 샀는데 잘 산 것 같아요. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,1
O0157,C032,P096,2025-10-08,1,5,샘플 써보고 본품 구매했어요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요. 카톡 아이디 yeji35 입니다.,0
O0158,C032,P134,2025-10-28,1,3,가격 생각하면 이 정도는 하는 것 같아요. 히알루론산 들어간 거 찾다가 샀는데 만족합니다.,0
O0159,C032,P194,2025-12-16,1,4,샘플 써보고 본품 구매했어요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요.,0
O0160,C032,P099,2026-06-20,1,5,"친구가 좋다고 해서 샀는데 만족해요. 지성인데 자극 없이 잘 썼어요. 강지은이라고 하고요, 매장 직원분이 친절했어요.",1
O0161,C033,P144,2025-08-04,1,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,0
O0162,C033,P076,2025-10-20,1,5,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요.,0
O0163,C033,P179,2026-02-03,1,5,샘플 써보고 본품 구매했어요. 민감성인데 자극 없이 잘 썼어요.,0
O0164,C033,P082,2026-04-26,1,5,샘플 써보고 본품 구매했어요. 젤 같은 제형이라 아침에 쓰기 좋아요.,0
O0165,C033,P037,2026-06-24,1,5,두 통째 쓰는 중이에요. 향이 세지 않아서 좋아요.,1
O0166,C034,P174,2025-11-26,2,3,기대가 컸나 봐요. 향이 세지 않아서 좋아요.,0
O0167,C034,P045,2025-11-27,1,4,고민하다 샀는데 잘 산 것 같아요. 비타민C 들어간 거 찾다가 샀는데 만족합니다. 공구 원하시면 01069007203 연락주세요.,0
O0168,C034,P183,2025-12-23,1,2,저랑은 안 맞았어요. 생각보다 끈적여서 아침엔 못 쓰겠어요. 신재민님이 추천해줘서 샀어요.,0
O0169,C034,P125,2026-02-05,1,1,"다음엔 다른 거 살 것 같아요. 중성이라 그런지 발랐더니 조금 따가웠어요. 박하윤이라고 하고요, 매장 직원분이 친절했어요.",0
O0170,C034,P152,2026-02-21,2,3,가격 생각하면 이 정도는 하는 것 같아요. 중성인데 자극 없이 잘 썼어요. 저는 박하윤인데 벌써 세 번째 재구매예요.,0
O0171,C034,P168,2026-05-23,2,4,친구가 좋다고 해서 샀는데 만족해요. 결이 정돈된 느낌이 든다는 게 느껴져요. 권다은 언니가 쓰는 거 보고 따라 샀습니다.,0
O0172,C034,P146,2026-06-16,1,5,"친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요. 박하윤이라고 하고요, 매장 직원분이 친절했어요.",1
O0173,C035,P031,2025-11-27,1,5,친구가 좋다고 해서 샀는데 만족해요. 건성인데 자극 없이 잘 썼어요. 샘플 문의는 yerin46@example.com 로 주세요.,0
O0174,C035,P183,2025-12-18,1,5,재구매입니다. 향이 세지 않아서 좋아요. 카톡 아이디 minjun32 입니다.,0
O0175,C035,P078,2026-03-03,1,3,가격 생각하면 이 정도는 하는 것 같아요. 건성인데 자극 없이 잘 썼어요.,0
O0176,C035,P168,2026-03-17,1,2,다음엔 다른 거 살 것 같아요. 용량 대비 가격이 아쉬워요.,0
O0177,C035,P006,2026-05-03,1,5,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요.,1
O0178,C036,P035,2025-07-18,1,3,무난해요. 히알루론산 들어간 거 찾다가 샀는데 만족합니다. 안은수님이 추천해줘서 샀어요.,0
O0179,C036,P086,2025-08-04,2,4,친구가 좋다고 해서 샀는데 만족해요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다. 재고 문의는 010 2413 2663 로 부탁드려요.,0
O0180,C036,P057,2025-10-14,1,5,재구매입니다. 히알루론산 들어간 거 찾다가 샀는데 만족합니다.,0
O0181,C036,P073,2025-11-03,1,4,샘플 써보고 본품 구매했어요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,0
O0182,C036,P048,2026-02-01,1,1,환불 고민 중입니다. 눈가가 덜 접힌다는 잘 모르겠어요.,0
O0183,C036,P096,2026-02-11,1,3,나쁘진 않은데 특별하진 않네요. 향이 세지 않아서 좋아요.,0
O0184,C036,P095,2026-04-20,1,5,친구가 좋다고 해서 샀는데 만족해요. 지성인데 자극 없이 잘 썼어요.,0
O0185,C036,P001,2026-04-24,1,5,고민하다 샀는데 잘 산 것 같아요. 지성인데 자극 없이 잘 썼어요.,1
O0186,C037,P132,2025-07-28,1,4,재구매입니다. 탱탱한 느낌이 오래간다는 게 느껴져요.,0
O0187,C037,P176,2025-10-20,3,3,무난해요. 눈가가 덜 접힌다는 게 느껴져요. 샘플 문의는 siwoo19@example.com 로 주세요.,0
O0188,C037,P037,2026-07-19,2,4,친구가 좋다고 해서 샀는데 만족해요. 녹차 들어간 거 찾다가 샀는데 만족합니다.,1
O0189,C038,P072,2025-09-20,1,3,나쁘진 않은데 특별하진 않네요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요. 천안 복대동 사는데 근처 매장에도 있더라고요.,0
O0190,C038,P022,2026-01-07,1,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,0
O0191,C038,P191,2026-05-09,1,4,샘플 써보고 본품 구매했어요. 건성인데 자극 없이 잘 썼어요.,0
O0192,C038,P091,2026-06-11,1,5,친구가 좋다고 해서 샀는데 만족해요. 쌀겨 들어간 거 찾다가 샀는데 만족합니다. 궁금하신 분은 010-8310-2146으로 문자주세요.,0
O0193,C038,P093,2026-07-02,1,4,재구매입니다. 건성인데 자극 없이 잘 썼어요. 저는 장예린인데 벌써 세 번째 재구매예요.,1
