product_id,name,brand,category,price,volume,skin_type,ingredient,concern,tags,description
P011,세라마이드 필링 로션,바른결,로션,28400,100ml,모든 피부,세라마이드,각질,"대용량,임산부","피부 장벽을 채워주는 세라마이드 성분을 담은 로션입니다. 촉촉하게 감싸는 제형으로 모든 피부에 맞게 설계했고, 은은한 허브 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P012,비타민C 필링 아이크림,라온셀,아이크림,42200,30ml,모든 피부,비타민C,각질,가성비,"맑은 결을 만들어주는 비타민C 성분을 담은 아이크림입니다. 꾸덕한 제형으로 모든 피부에 맞게 설계했고, 은은한 허브 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P013,비타민C 시카 미스트,청담수,미스트,29100,100ml,복합성,비타민C,진정,"대용량,선물용","맑은 결을 만들어주는 비타민C 성분을 담은 미스트입니다. 젤 같은 제형으로 복합성에 맞게 설계했고, 옅은 시트러스 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P014,어성초 트러블 클렌징오일,피부일기,클렌징오일,21200,200ml,건성,어성초,트러블,"남성용,비건,선물용","열감을 식혀주는 어성초 성분을 담은 클렌징오일입니다. 촉촉하게 감싸는 제형으로 건성에 맞게 설계했고, 옅은 시트러스 향입니다. 트러블 고민이 있을 때 올라오던 게 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P015,약산성 아미노산 수분 클렌징폼,피부일기,클렌징폼,30100,120ml,민감성,약산성 아미노산,수분,여행용,"당김 없이 씻어내는 약산성 아미노산 성분을 담은 클렌징폼입니다. 물처럼 묽은 제형으로 민감성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P016,병풀 링클 클렌징폼,포레스트힐,클렌징폼,18900,150ml,복합성,병풀,주름,"저자극,가성비","예민해진 피부를 진정시키는 병풀 성분을 담은 클렌징폼입니다. 꾸덕한 제형으로 복합성에 맞게 설계했고, 옅은 시트러스 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P017,병풀 필링 크림,그린포레,크림,35900,50ml,건성,병풀,각질,비건,"예민해진 피부를 진정시키는 병풀 성분을 담은 크림입니다. 산뜻한 제형으로 건성에 맞게 설계했고, 은은한 허브 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P018,쌀겨 탄력 세럼,데일리랩,세럼,32200,30ml,지성,쌀겨,탄력,남성용,"묵은 각질을 부드럽게 녹이는 쌀겨 성분을 담은 세럼입니다. 가볍게 스미는 제형으로 지성에 맞게 설계했고, 은은한 허브 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P019,콜라겐 포어 세럼,허브노트,세럼,78400,30ml,모든 피부,콜라겐,모공,대용량,"탄력을 채워주는 콜라겐 성분을 담은 세럼입니다. 꾸덕한 제형으로 모든 피부에 맞게 설계했고, 은은한 허브 향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P020,약산성 아미노산 브라이트닝 에센스,순수담,에센스,70100,100ml,복합성,약산성 아미노산,미백,"선물용,대용량,가성비","당김 없이 씻어내는 약산성 아미노산 성분을 담은 에센스입니다. 물처럼 묽은 제형으로 복합성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 미백 고민이 있을 때 얼굴이 한 톤 밝아 보인다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P021,세라마이드 트러블 선크림,데일리랩,선크림,30700,50ml,복합성,세라마이드,트러블,비건,"피부 장벽을 채워주는 세라마이드 성분을 담은 선크림입니다. 물처럼 묽은 제형으로 복합성에 맞게 설계했고, 무향입니다. 트러블 고민이 있을 때 올라오던 게 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P022,녹차 필링 마스크팩,물빛연구소,마스크팩,16700,30매,건성,녹차,각질,가성비,"산뜻하게 정돈해주는 녹차 성분을 담은 마스크팩입니다. 촉촉하게 감싸는 제형으로 건성에 맞게 설계했고, 옅은 시트러스 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P023,콜라겐 링클 토너,데일리랩,토너,31200,200ml,민감성,콜라겐,주름,"가성비,비건","탄력을 채워주는 콜라겐 성분을 담은 토너입니다. 가볍게 스미는 제형으로 민감성에 맞게 설계했고, 무향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P024,레티놀 탄력 로션,모이스트랩,로션,32600,150ml,모든 피부,레티놀,탄력,대용량,"잔주름 관리에 쓰는 레티놀 성분을 담은 로션입니다. 촉촉하게 감싸는 제형으로 모든 피부에 맞게 설계했고, 은은한 허브 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P025,나이아신아마이드 수분 앰플,청담수,앰플,46600,30ml,건성,나이아신아마이드,수분,"남성용,여행용","칙칙한 기를 덜어주는 나이아신아마이드 성분을 담은 앰플입니다. 산뜻한 제형으로 건성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P026,판테놀 시카 에센스,모이스트랩,에센스,65400,80ml,복합성,판테놀,진정,저자극,"붉은 기를 달래주는 판테놀 성분을 담은 에센스입니다. 물처럼 묽은 제형으로 복합성에 맞게 설계했고, 옅은 시트러스 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P027,알로에 링클 클렌징폼,청담수,클렌징폼,33600,150ml,복합성,알로에,주름,대용량,"수분을 오래 붙잡아두는 알로에 성분을 담은 클렌징폼입니다. 가볍게 스미는 제형으로 복합성에 맞게 설계했고, 옅은 시트러스 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P028,판테놀 수분 로션,미니멀스킨,로션,31200,150ml,지성,판테놀,수분,남성용,"붉은 기를 달래주는 판테놀 성분을 담은 로션입니다. 젤 같은 제형으로 지성에 맞게 설계했고, 무향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P029,콜라겐 필링 마스크팩,물빛연구소,마스크팩,20100,10매,복합성,콜라겐,각질,선물용,"탄력을 채워주는 콜라겐 성분을 담은 마스크팩입니다. 촉촉하게 감싸는 제형으로 복합성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P030,병풀 시카 앰플,피부일기,앰플,46000,50ml,민감성,병풀,진정,선물용,"예민해진 피부를 진정시키는 병풀 성분을 담은 앰플입니다. 가볍게 스미는 제형으로 민감성에 맞게 설계했고, 은은한 허브 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P031,판테놀 수분 크림,라온셀,크림,32300,50ml,복합성,판테놀,수분,"선물용,임산부","붉은 기를 달래주는 판테놀 성분을 담은 크림입니다. 촉촉하게 감싸는 제형으로 복합성에 맞게 설계했고, 무향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P032,세라마이드 시카 에센스,허브노트,에센스,38800,100ml,건성,세라마이드,진정,"대용량,저자극","피부 장벽을 채워주는 세라마이드 성분을 담은 에센스입니다. 촉촉하게 감싸는 제형으로 건성에 맞게 설계했고, 은은한 허브 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P033,히알루론산 시카 세럼,미니멀스킨,세럼,31300,50ml,민감성,히알루론산,진정,남성용,"속당김을 잡아주는 히알루론산 성분을 담은 세럼입니다. 산뜻한 제형으로 민감성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P034,레티놀 수분 마스크팩,허브노트,마스크팩,20500,20매,복합성,레티놀,수분,"여행용,선물용","잔주름 관리에 쓰는 레티놀 성분을 담은 마스크팩입니다. 물처럼 묽은 제형으로 복합성에 맞게 설계했고, 무향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P035,히알루론산 포어 로션,라온셀,로션,32100,100ml,민감성,히알루론산,모공,"남성용,여행용","속당김을 잡아주는 히알루론산 성분을 담은 로션입니다. 촉촉하게 감싸는 제형으로 민감성에 맞게 설계했고, 무향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P036,세라마이드 트러블 에센스,순수담,에센스,67600,50ml,모든 피부,세라마이드,트러블,"여행용,저자극","피부 장벽을 채워주는 세라마이드 성분을 담은 에센스입니다. 꾸덕한 제형으로 모든 피부에 맞게 설계했고, 무향입니다. 트러블 고민이 있을 때 올라오던 게 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P037,녹차 브라이트닝 크림,데일리랩,크림,34000,50ml,지성,녹차,미백,가성비,"산뜻하게 정돈해주는 녹차 성분을 담은 크림입니다. 산뜻한 제형으로 지성에 맞게 설계했고, 옅은 시트러스 향입니다. 미백 고민이 있을 때 얼굴이 한 톤 밝아 보인다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P038,알로에 링클 미스트,데일리랩,미스트,22300,100ml,건성,알로에,주름,"여행용,남성용,선물용","수분을 오래 붙잡아두는 알로에 성분을 담은 미스트입니다. 젤 같은 제형으로 건성에 맞게 설계했고, 은은한 허브 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P039,레티놀 링클 마스크팩,모이스트랩,마스크팩,39400,10매,지성,레티놀,주름,남성용,"잔주름 관리에 쓰는 레티놀 성분을 담은 마스크팩입니다. 가볍게 스미는 제형으로 지성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P040,병풀 필링 마스크팩,데일리랩,마스크팩,26200,20매,지성,병풀,각질,"대용량,선물용,가성비","예민해진 피부를 진정시키는 병풀 성분을 담은 마스크팩입니다. 물처럼 묽은 제형으로 지성에 맞게 설계했고, 은은한 허브 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P041,녹차 탄력 미스트,청담수,미스트,22000,120ml,지성,녹차,탄력,"대용량,선물용","산뜻하게 정돈해주는 녹차 성분을 담은 미스트입니다. 꾸덕한 제형으로 지성에 맞게 설계했고, 옅은 시트러스 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P042,콜라겐 수분 세럼,미니멀스킨,세럼,30500,30ml,복합성,콜라겐,수분,"가성비,저자극,대용량","탄력을 채워주는 콜라겐 성분을 담은 세럼입니다. 촉촉하게 감싸는 제형으로 복합성에 맞게 설계했고, 옅은 시트러스 향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P043,세라마이드 탄력 클렌징오일,물빛연구소,클렌징오일,31900,200ml,모든 피부,세라마이드,탄력,저자극,"피부 장벽을 채워주는 세라마이드 성분을 담은 클렌징오일입니다. 물처럼 묽은 제형으로 모든 피부에 맞게 설계했고, 무향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P044,알로에 탄력 앰플,청담수,앰플,36300,30ml,지성,알로에,탄력,"선물용,가성비,저자극","수분을 오래 붙잡아두는 알로에 성분을 담은 앰플입니다. 젤 같은 제형으로 지성에 맞게 설계했고, 은은한 허브 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P045,비타민C 탄력 로션,물빛연구소,로션,37300,100ml,복합성,비타민C,탄력,"여행용,남성용","맑은 결을 만들어주는 비타민C 성분을 담은 로션입니다. 촉촉하게 감싸는 제형으로 복합성에 맞게 설계했고, 무향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P046,나이아신아마이드 탄력 클렌징폼,피부일기,클렌징폼,33800,120ml,지성,나이아신아마이드,탄력,"남성용,대용량","칙칙한 기를 덜어주는 나이아신아마이드 성분을 담은 클렌징폼입니다. 젤 같은 제형으로 지성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P047,나이아신아마이드 트러블 아이크림,포레스트힐,아이크림,34800,20ml,민감성,나이아신아마이드,트러블,선물용,"칙칙한 기를 덜어주는 나이아신아마이드 성분을 담은 아이크림입니다. 젤 같은 제형으로 민감성에 맞게 설계했고, 은은한 허브 향입니다. 트러블 고민이 있을 때 올라오던 게 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P048,판테놀 링클 로션,미니멀스킨,로션,28800,150ml,민감성,판테놀,주름,"저자극,가성비","붉은 기를 달래주는 판테놀 성분을 담은 로션입니다. 꾸덕한 제형으로 민감성에 맞게 설계했고, 은은한 허브 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P049,세라마이드 탄력 미스트,모이스트랩,미스트,33800,100ml,지성,세라마이드,탄력,임산부,"피부 장벽을 채워주는 세라마이드 성분을 담은 미스트입니다. 가볍게 스미는 제형으로 지성에 맞게 설계했고, 은은한 허브 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P050,쌀겨 탄력 크림,바른결,크림,38600,50ml,민감성,쌀겨,탄력,"남성용,비건,선물용","묵은 각질을 부드럽게 녹이는 쌀겨 성분을 담은 크림입니다. 물처럼 묽은 제형으로 민감성에 맞게 설계했고, 은은한 허브 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P051,녹차 포어 미스트,허브노트,미스트,33200,120ml,복합성,녹차,모공,"선물용,여행용","산뜻하게 정돈해주는 녹차 성분을 담은 미스트입니다. 가볍게 스미는 제형으로 복합성에 맞게 설계했고, 무향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P052,판테놀 링클 클렌징폼,피부일기,클렌징폼,20000,150ml,복합성,판테놀,주름,가성비,"붉은 기를 달래주는 판테놀 성분을 담은 클렌징폼입니다. 가볍게 스미는 제형으로 복합성에 맞게 설계했고, 은은한 허브 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P053,판테놀 시카 선크림,데일리랩,선크림,28500,60ml,모든 피부,판테놀,진정,"가성비,저자극","붉은 기를 달래주는 판테놀 성분을 담은 선크림입니다. 산뜻한 제형으로 모든 피부에 맞게 설계했고, 옅은 시트러스 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P054,레티놀 트러블 앰플,청담수,앰플,83000,50ml,모든 피부,레티놀,트러블,가성비,"잔주름 관리에 쓰는 레티놀 성분을 담은 앰플입니다. 꾸덕한 제형으로 모든 피부에 맞게 설계했고, 무향입니다. 트러블 고민이 있을 때 올라오던 게 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P055,레티놀 브라이트닝 클렌징폼,모이스트랩,클렌징폼,33000,120ml,복합성,레티놀,미백,"남성용,대용량","잔주름 관리에 쓰는 레티놀 성분을 담은 클렌징폼입니다. 산뜻한 제형으로 복합성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 미백 고민이 있을 때 얼굴이 한 톤 밝아 보인다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P056,프로폴리스 수분 앰플,바른결,앰플,42100,30ml,복합성,프로폴리스,수분,"선물용,저자극","영양을 채워주는 프로폴리스 성분을 담은 앰플입니다. 가볍게 스미는 제형으로 복합성에 맞게 설계했고, 무향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P057,히알루론산 탄력 클렌징오일,모이스트랩,클렌징오일,25000,150ml,모든 피부,히알루론산,탄력,"저자극,선물용","속당김을 잡아주는 히알루론산 성분을 담은 클렌징오일입니다. 산뜻한 제형으로 모든 피부에 맞게 설계했고, 은은한 허브 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P058,히알루론산 링클 클렌징폼,청담수,클렌징폼,14800,150ml,모든 피부,히알루론산,주름,"선물용,대용량","속당김을 잡아주는 히알루론산 성분을 담은 클렌징폼입니다. 물처럼 묽은 제형으로 모든 피부에 맞게 설계했고, 은은한 허브 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P059,히알루론산 포어 선크림,물빛연구소,선크림,39100,60ml,건성,히알루론산,모공,"남성용,선물용","속당김을 잡아주는 히알루론산 성분을 담은 선크림입니다. 산뜻한 제형으로 건성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P060,병풀 시카 아이크림,그린포레,아이크림,28100,20ml,지성,병풀,진정,저자극,"예민해진 피부를 진정시키는 병풀 성분을 담은 아이크림입니다. 꾸덕한 제형으로 지성에 맞게 설계했고, 은은한 허브 향입니다. 진정 고민이 있을 때 붉은 기가 빨리 가라앉는다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P061,알로에 링클 앰플,피부일기,앰플,33700,30ml,모든 피부,알로에,주름,"저자극,비건","수분을 오래 붙잡아두는 알로에 성분을 담은 앰플입니다. 물처럼 묽은 제형으로 모든 피부에 맞게 설계했고, 옅은 시트러스 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P062,세라마이드 브라이트닝 클렌징오일,피부일기,클렌징오일,26800,200ml,복합성,세라마이드,미백,"남성용,선물용","피부 장벽을 채워주는 세라마이드 성분을 담은 클렌징오일입니다. 촉촉하게 감싸는 제형으로 복합성에 맞게 설계했고, 옅은 시트러스 향입니다. 미백 고민이 있을 때 얼굴이 한 톤 밝아 보인다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P063,병풀 링클 로션,청담수,로션,30800,150ml,모든 피부,병풀,주름,비건,"예민해진 피부를 진정시키는 병풀 성분을 담은 로션입니다. 젤 같은 제형으로 모든 피부에 맞게 설계했고, 옅은 시트러스 향입니다. 주름 고민이 있을 때 눈가가 덜 접힌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P064,나이아신아마이드 필링 앰플,피부일기,앰플,30900,50ml,건성,나이아신아마이드,각질,"비건,가성비","칙칙한 기를 덜어주는 나이아신아마이드 성분을 담은 앰플입니다. 꾸덕한 제형으로 건성에 맞게 설계했고, 옅은 시트러스 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P065,콜라겐 필링 앰플,모이스트랩,앰플,85500,30ml,지성,콜라겐,각질,남성용,"탄력을 채워주는 콜라겐 성분을 담은 앰플입니다. 가볍게 스미는 제형으로 지성에 맞게 설계했고, 무향에 가까운 순한 향입니다. 각질 고민이 있을 때 겉돌던 게 없어졌다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P066,약산성 아미노산 포어 아이크림,순수담,아이크림,36500,20ml,민감성,약산성 아미노산,모공,"임산부,남성용","당김 없이 씻어내는 약산성 아미노산 성분을 담은 아이크림입니다. 산뜻한 제형으로 민감성에 맞게 설계했고, 무향입니다. 모공 고민이 있을 때 결이 정돈된 느낌이 든다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P067,콜라겐 수분 마스크팩,물빛연구소,마스크팩,30300,30매,민감성,콜라겐,수분,"선물용,저자극","탄력을 채워주는 콜라겐 성분을 담은 마스크팩입니다. 물처럼 묽은 제형으로 민감성에 맞게 설계했고, 무향입니다. 수분 고민이 있을 때 속건조가 덜하다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
P068,세라마이드 탄력 마스크팩,미니멀스킨,마스크팩,31000,30매,건성,세라마이드,탄력,"대용량,비건","피부 장벽을 채워주는 세라마이드 성분을 담은 마스크팩입니다. 물처럼 묽은 제형으로 건성에 맞게 설계했고, 옅은 시트러스 향입니다. 탄력 고민이 있을 때 탱탱한 느낌이 오래간다는 이야기를 많이 듣습니다. 아침저녁 세안 뒤 적당량을 덜어 사용하세요."
